SHG Code,SHG Name,State,District,Block,Primary Livelihoods,Secondary Livelihoods,Active Members,Savings Amount,SHG Category,cluster_label
4000935439,RUPJYOTI GOT,ASSAM,KAMRUP,BEZERA,livestock,livestock,11,20,SC,0
4000935252,SANJEEVANI GOT,ASSAM,KAMRUP,BEZERA,livestock,livestock,13,25,SC,0
4000934160,SEUJI SHG,ASSAM,KAMRUP,BEZERA,livestock,-,12,25,GEN,0
4000934211,SHAKTI,ASSAM,KAMRUP,BEZERA,-,-,11,20,GEN,4
4000935402,SIROMANI SHG,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,50,GEN,0
4000934586,SRI KRISHNA SHG,ASSAM,KAMRUP,BEZERA,-,-,13,25,GEN,4
4000935456,SRI SRI SANKARDEVA SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000934435,SWAGATAM ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,fishery,livestock,12,50,SC,6
4000934016,SWARNALATA SHG,ASSAM,KAMRUP,BEZERA,-,-,11,20,GEN,4
4000935004,TIRANGA SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,OTH,4
4000933956,UPASANA ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,12,25,OTH,4
4000934125,1 NO PACHIM ALIPUB SWARNAJAYANTI GRAMYA SWA ROJGAR YOJANA,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000934314,ALIMBIKA,ASSAM,KAMRUP,BEZERA,-,-,13,25,OTH,4
4000933742,ALIPUB MAHILA SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000935769,ANANDA NAGAR S.H.G,ASSAM,KAMRUP,BEZERA,-,-,9,25,OTH,4
4000934593,BAHNIMAN,ASSAM,KAMRUP,BEZERA,-,-,12,20,OTH,4
4000933611,BAROBHONI SHG,ASSAM,KAMRUP,BEZERA,-,-,10,20,OBC,4
4000935635,INDIRA SELF HELP GROUP,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000935441,JIBAN JYOTI MADAN KAMDEV,ASSAM,KAMRUP,BEZERA,-,-,12,20,OBC,4
4000934670,JILMIL,ASSAM,KAMRUP,BEZERA,-,-,12,20,GEN,4
4000935332,JUTIYA MAHILA SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000934720,KANAKLATA SWA SAHAYA,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000935140,KASTURI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000934643,LAKHIMI SHG,ASSAM,KAMRUP,BEZERA,-,-,12,20,OTH,4
4000935210,MADAN KAMDEV ANUSUTIAJATI MILIJULI,ASSAM,KAMRUP,BEZERA,-,-,11,20,OBC,4
4000935657,MADAN KAMDEV ANUSUTIAJATI S.H.G,ASSAM,KAMRUP,BEZERA,-,-,12,20,OBC,4
4000933918,MAHIMA ASG,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000935753,MAYOURI SHG,ASSAM,KAMRUP,BEZERA,live_aggregation,-,12,25,GEN,7
4000933496,MILAN JYOTI SHG,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000934000,MILANJYOTI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,12,20,OBC,4
4000934978,MILIJULI SHG,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000935089,MOUSUMI ATMA SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000934230,NARJI,ASSAM,KAMRUP,BEZERA,-,-,10,20,-,4
4000935563,P/S SHIB SANKAR SHG,ASSAM,KAMRUP,BEZERA,-,-,12,20,OBC,4
4000935091,PASHIM ALIPUB SEUJI SHG,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000933579,RANGMILI,ASSAM,KAMRUP,BEZERA,-,-,7,20,GEN,4
4000933533,RENGANI SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,OTH,4
4000933892,SATYA SANDHYA SHG,ASSAM,KAMRUP,BEZERA,-,-,10,40,OBC,4
4000934379,SEUZI SHG,ASSAM,KAMRUP,BEZERA,custom_hiring,-,11,25,GEN,8
4000935384,SONALI,ASSAM,KAMRUP,BEZERA,-,-,10,20,GEN,4
4000933483,SONALI MAHILA SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000933790,SRIKRISHNA,ASSAM,KAMRUP,BEZERA,-,-,10,25,OBC,4
4000935378,SWARASATI,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000935585,BARDAISILA ,ASSAM,KAMRUP,BEZERA,-,-,12,20,ST,4
4000934529,BARNALI,ASSAM,KAMRUP,BEZERA,-,-,9,20,ST,4
4000935626,GANDHI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,11,20,ST,4
4000933546,MARAMI,ASSAM,KAMRUP,BEZERA,-,-,10,20,ST,4
4000935027,TARALI SHG,ASSAM,KAMRUP,BEZERA,-,-,12,20,SC,4
4000935782,BANDHAN,ASSAM,KAMRUP,BEZERA,-,-,12,25,ST,4
4000935516,MILAN JYOTI,ASSAM,KAMRUP,BEZERA,-,-,13,20,ST,4
4000934333,MILIJULI,ASSAM,KAMRUP,BEZERA,-,-,12,20,ST,4
4000933828,MONALISHA ATMA SHG,ASSAM,KAMRUP,BEZERA,-,-,13,20,ST,4
4000935559,2NO BARPALAHA METATOL SUBA ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,manufacturing,-,10,60,OBC,2
4000934950,AKSHI SHG,ASSAM,KAMRUP,BEZERA,manufacturing,-,12,20,OTH,2
4000934708,ANKUR,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000934276,BARPALAHA JANANI,ASSAM,KAMRUP,BEZERA,manufacturing,-,12,40,OBC,2
4000935674,BARPALAHA MARAMI,ASSAM,KAMRUP,BEZERA,manufacturing,-,11,40,ST,2
4000934224,BARPALHA METATOLA SUBA ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,manufacturing,-,10,40,OBC,2
4000934627,BINAPANI,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000934141,DEVI DURGA,ASSAM,KAMRUP,BEZERA,manufacturing,-,11,40,OBC,2
4000934351,DHANSHIRI,ASSAM,KAMRUP,BEZERA,-,-,10,25,OBC,4
4000935661,DISHA,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000935281,HIYA S.H.G,ASSAM,KAMRUP,BEZERA,manufacturing,-,12,100,OTH,2
4000935268,JAGRITI SELF HELP GROUP,ASSAM,KAMRUP,BEZERA,manufacturing,-,11,40,OBC,2
4000935592,JANMONI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,13,25,OBC,4
4000934207,JEUTI SHG,ASSAM,KAMRUP,BEZERA,-,-,12,80,OBC,4
4000933941,JIBAN TRISHNA,ASSAM,KAMRUP,BEZERA,manufacturing,-,11,40,OBC,2
4000933695,JILINGANI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,manufacturing,-,11,40,OTH,2
4000933522,JONALI,ASSAM,KAMRUP,BEZERA,manufacturing,-,11,40,OTH,2
4000934847,LAKHIMI,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000935186,LAYANUPAM LAKHIMI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,manufacturing,-,9,40,OBC,2
4000933735,LAYANUPAM MILIJULI,ASSAM,KAMRUP,BEZERA,manufacturing,-,11,40,OTH,2
4000934810,LUCKY,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000935724,MAA KAMAKHYA,ASSAM,KAMRUP,BEZERA,manufacturing,-,12,40,OBC,2
4000934071,MAHAMAYA,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000935117,MAINA PARIJAT S.H.G,ASSAM,KAMRUP,BEZERA,-,-,10,25,OTH,4
4000934253,MALAXMI SELF HELP GROUP,ASSAM,KAMRUP,BEZERA,-,-,10,25,OBC,4
4000934490,MILAN JYOTI,ASSAM,KAMRUP,BEZERA,manufacturing,-,12,40,OBC,2
4000933816,MILANJYOTI,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000935345,MILIJULI,ASSAM,KAMRUP,BEZERA,manufacturing,-,12,40,OBC,2
4000934305,MUKUTA,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000934731,PRABHATI,ASSAM,KAMRUP,BEZERA,-,-,10,40,OBC,4
4000935500,PRAGATI ATMA SAHAYAK GOUT,ASSAM,KAMRUP,BEZERA,-,-,10,25,OTH,4
4000934765,PUBERUN,ASSAM,KAMRUP,BEZERA,manufacturing,-,10,40,OTH,2
4000934248,RADALI S.H.G,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000934662,RANDHALI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,manufacturing,-,10,40,OBC,2
4000933653,RODALI,ASSAM,KAMRUP,BEZERA,manufacturing,-,13,40,OTH,2
4000935193,RODALI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,10,25,OTH,4
4000933630,SAGARIKA ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,10,25,OBC,4
4000934909,SANKARDEV ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,10,25,OBC,4
4000935172,SEUJI SHG,ASSAM,KAMRUP,BEZERA,manufacturing,-,10,100,OTH,2
4000935460,SIBANI,ASSAM,KAMRUP,BEZERA,-,-,10,40,OBC,4
4000934754,SMRITI,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000933973,SRIKRISHNA,ASSAM,KAMRUP,BEZERA,manufacturing,-,10,40,OBC,2
4000934442,SWARASATI,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000935366,TARALI,ASSAM,KAMRUP,BEZERA,manufacturing,-,12,40,OBC,2
4000934783,TRISHNA SHG,ASSAM,KAMRUP,BEZERA,-,-,12,40,OBC,4
4000934540,UPASHANA SHG,ASSAM,KAMRUP,BEZERA,-,-,12,24,OBC,4
4000935397,ADARSHA BADI SHG,ASSAM,KAMRUP,BEZERA,-,-,10,20,GEN,4
4000934749,BANTI,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000935247,ELO ATMA SAHAYAK GOTE,ASSAM,KAMRUP,BEZERA,-,-,10,20,GEN,4
4000933505,GOG AMARJYOTI SHAW SAHARYA GOATE,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000935275,GOG JONAKI,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000934806,GOG MORNAIPAR,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000935155,GOG NAYANMONI,ASSAM,KAMRUP,BEZERA,livestock,-,10,40,GEN,0
4000935101,GOGMILIJULI SWASAHAYA GOT,ASSAM,KAMRUP,BEZERA,-,-,10,20,GEN,4
4000934997,GOGNABAJYOTI SWASAHAYAR,ASSAM,KAMRUP,BEZERA,-,-,9,25,GEN,4
4000934881,JONAKI,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000935138,JONAKI BHUTIA SUBA SHG,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,50,GEN,0
4000934945,LUNASHREE ATMA SAHAYAK GOTE,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000935814,MILAN ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000933703,NANDINI SHG,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000935805,NEHERBAN ATMA SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000934913,PUB GOG NABUDAYA,ASSAM,KAMRUP,BEZERA,-,-,11,25,GEN,4
4000934295,PUYATI SELF HELP GROUP,ASSAM,KAMRUP,BEZERA,trading,-,10,25,GEN,5
4000934538,SEUJI SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000934966,SEUJI SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000935537,TAMANNA SELF HELP,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000934028,AAI MATRI ELDERLY SHG,ASSAM,KAMRUP,BEZERA,-,-,9,25,GEN,4
4000934604,ABHA ATMA SAGAGE GOTE,ASSAM,KAMRUP,BEZERA,livestock,livestock,11,50,GEN,0
4000935309,ANURADHA ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000934636,BAHNIMAN MAHILA,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,50,GEN,0
4000934712,BOHAGI,ASSAM,KAMRUP,BEZERA,-,-,10,50,GEN,4
4000935473,DASABATAR SHG,ASSAM,KAMRUP,BEZERA,-,-,13,25,GEN,4
4000935206,DEEPJYOTI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,manufacturing,-,11,25,OBC,2
4000933514,DURGA SHG,ASSAM,KAMRUP,BEZERA,-,-,13,25,OBC,4
4000934823,GATI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,livestock,livestock,11,50,GEN,0
4000934367,HIRAKJYOTI SHG,ASSAM,KAMRUP,BEZERA,livestock,livestock,11,50,OTH,0
4000933994,HIYA MONI ATMA SHG,ASSAM,KAMRUP,BEZERA,livestock,livestock,12,50,GEN,0
4000933669,JEUTI SHG,ASSAM,KAMRUP,BEZERA,-,-,13,25,OTH,4
4000935730,JOONTARA SHG,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,50,GEN,0
4000935350,JUPITARA SHG,ASSAM,KAMRUP,BEZERA,-,-,9,100,OBC,4
4000933598,JYOTIRUPA SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,OBC,4
4000933902,KANGKI SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,SC,4
4000934269,KAPAHI SHG,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,50,GEN,0
4000933719,LACHIT ATMA SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,SC,4
4000933871,MAA LAKHMI SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,OBC,4
4000934059,MANISHA MAHILA ATMA SAHAYAK GOAT,ASSAM,KAMRUP,BEZERA,manufacturing,manufacturing,10,25,GEN,2
4000934457,MARAME ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,10,40,OBC,4
4000935036,MARAMI ATMA S.H.G,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,50,GEN,0
4000933567,MEGHALI,ASSAM,KAMRUP,BEZERA,-,-,12,50,SC,4
4000935313,MILANJYOTI SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000934615,MILIJULI ,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000934063,MINAKSHI SHG,ASSAM,KAMRUP,BEZERA,-,-,10,25,OBC,4
4000933726,MUKUTA SHG,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,50,OTH,0
4000935707,MULAGABHURU ATMA SHG,ASSAM,KAMRUP,BEZERA,manufacturing,-,9,25,SC,2
4000933859,NAVAMILAN,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000934875,NAYANJYOTI SHG,ASSAM,KAMRUP,BEZERA,-,-,12,25,SC,4
4000934419,NAYANMANI,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,40,GEN,0
4000935299,PARBATI,ASSAM,KAMRUP,BEZERA,livestock,-,12,25,GEN,0
4000934426,PRAGATI,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000935129,PRAGATI S.H.G,ASSAM,KAMRUP,BEZERA,livestock,livestock,10,50,GEN,0
4000935058,RANGMAN ATMA SHG,ASSAM,KAMRUP,BEZERA,livestock,livestock,11,100,GEN,0
4000934173,RANGMILI,ASSAM,KAMRUP,BEZERA,-,-,12,25,GEN,4
4000933885,RANGMILI SHG,ASSAM,KAMRUP,BEZERA,-,-,10,40,SC,4
4000934689,RIMJHIM SHG,ASSAM,KAMRUP,BEZERA,-,-,10,50,GEN,4
4000934398,RISA ATMAA SHG,ASSAM,KAMRUP,BEZERA,livestock,livestock,12,50,GEN,0
4000933676,RUPALI,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000933648,RUPJYOTI SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000934102,RUPJYOTI SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000934403,SAMBHABANA SHG,ASSAM,KAMRUP,BEZERA,-,-,11,50,OBC,4
4000934517,SANJIBONI SHG,ASSAM,KAMRUP,BEZERA,-,-,11,40,GEN,4
4000935164,SARATHI SHG,ASSAM,KAMRUP,BEZERA,manufacturing,-,11,25,OBC,2
4000934092,SEWIJI SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000934921,SONALAI ATMA S.H.G,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000935795,SONTARA ATMA SHG,ASSAM,KAMRUP,BEZERA,livestock,fishery,9,50,GEN,0
4000934474,SRIJANI,ASSAM,KAMRUP,BEZERA,-,-,10,25,GEN,4
4000934488,SWARNA JYOTI,ASSAM,KAMRUP,BEZERA,manufacturing,-,11,25,GEN,2
4000935688,TAJMAHAL,ASSAM,KAMRUP,BEZERA,-,-,13,25,OBC,4
4000936308,ALTA JANAPRIYA ASG,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000936090,ALTA JANARPAR NAVAJYOTI S. H.G,ASSAM,KAMRUP,BEZERA,-,-,12,100,OTH,4
4000935931,ALTA RONGDHALI ASG,ASSAM,KAMRUP,BEZERA,-,-,9,50,OBC,4
4000937237,ALTAJYOTI ASG,ASSAM,KAMRUP,BEZERA,-,-,13,25,OBC,4
4000936163,ASHA A.S.G,ASSAM,KAMRUP,BEZERA,livestock,-,12,50,GEN,0
4000936137,ASTHA SHG,ASSAM,KAMRUP,BEZERA,livestock,-,11,40,OBC,0
4000935879,DAKHIN ALTA JANAPAR,ASSAM,KAMRUP,BEZERA,-,-,11,40,GEN,4
4000937114,DHANLAXMI,ASSAM,KAMRUP,BEZERA,-,-,13,100,OBC,4
4000936694,DIPJYOTI SHG,ASSAM,KAMRUP,BEZERA,livestock,-,13,50,GEN,0
4000935898,FULAN JYOTI A.S.G.,ASSAM,KAMRUP,BEZERA,livestock,-,13,50,GEN,0
4000936543,JYOTI S.H.G,ASSAM,KAMRUP,BEZERA,-,-,9,100,OBC,4
4000936589,KALLYANI ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000937727,KANAKLATA,ASSAM,KAMRUP,BEZERA,-,-,13,100,OBC,4
4000936747,LAKSHIMI A.S.G,ASSAM,KAMRUP,BEZERA,-,-,13,25,GEN,4
4000936280,MAMTAJ SHG,ASSAM,KAMRUP,BEZERA,-,-,13,50,OTH,4
4000936734,MILAN S.H.G,ASSAM,KAMRUP,BEZERA,livestock,-,12,20,OBC,0
4000937394,MILIJULI,ASSAM,KAMRUP,BEZERA,-,-,9,100,OBC,4
4000936656,MONJAI SHG,ASSAM,KAMRUP,BEZERA,-,-,11,25,OBC,4
4000936558,MULAGABHARU,ASSAM,KAMRUP,BEZERA,-,-,11,100,OBC,4
4000937506,MUSKAN S.H.G,ASSAM,KAMRUP,BEZERA,livestock,-,12,20,OBC,0
4000937990,NAYANMONI,ASSAM,KAMRUP,BEZERA,-,-,13,40,OBC,4
4000938025,NIZARA A.S.G,ASSAM,KAMRUP,BEZERA,custom_hiring,-,13,100,GEN,8
4000936144,NURANI  SHG,ASSAM,KAMRUP,BEZERA,-,-,13,50,OTH,4
4000936026,PACHIM ALTA RUPALI S.H.G,ASSAM,KAMRUP,BEZERA,-,-,10,50,OBC,4
4000937228,PRATYASHA,ASSAM,KAMRUP,BEZERA,-,-,14,40,OBC,4
4000938018,PUBALI,ASSAM,KAMRUP,BEZERA,-,-,11,40,OBC,4
4000936349,RODALI S.H.G,ASSAM,KAMRUP,BEZERA,-,-,13,25,GEN,4
4000938056,RUPAHI SHG,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000937523,RUPALI S.H.G,ASSAM,KAMRUP,BEZERA,-,-,10,25,OBC,4
4000937599,RUPJYOTI SHG,ASSAM,KAMRUP,BEZERA,livestock,-,12,50,GEN,0
4000937478,SONTARA S.H.G,ASSAM,KAMRUP,BEZERA,livestock,-,12,50,OBC,0
4000937048,TAGAR,ASSAM,KAMRUP,BEZERA,-,-,12,25,OBC,4
4000937151,ANAMIKA MAHILA,ASSAM,KAMRUP,BEZERA,-,-,13,40,GEN,4
4000937450,ANKUR,ASSAM,KAMRUP,BEZERA,-,-,14,40,GEN,4
4000936233,ANTARIKHA,ASSAM,KAMRUP,BEZERA,-,-,12,40,GEN,4
4000936768,APRUPA ASG,ASSAM,KAMRUP,BEZERA,-,-,13,50,OBC,4
4000937180,ASHA ATMA SAHAYAK GOT,ASSAM,KAMRUP,BEZERA,manufacturing,manufacturing,12,25,OTH,2
4000935949,BARNALI,ASSAM,KAMRUP,BEZERA,-,-,11,40,OTH,4
4000936171,BEZERA SASTRA MAHILA S S GOT,ASSAM,KAMRUP,BEZERA,manufacturing,-,13,40,OBC,2
4000935851,BIJULI,ASSAM,KAMRUP,BEZERA,-,-,13,40,OTH,4
4000937024,BONFUL,ASSAM,KAMRUP,BEZERA,-,-,12,100,GEN,4
4000936878,GAGARI,ASSAM,KAMRUP,BEZERA,-,-,15,40,GEN,4
4000937292,GRANDMOTHER ELDERLY SHG,ASSAM,KAMRUP,BEZERA,livestock,-,10,40,OTH,0
